从今四海为家日	故垒萧萧芦荻秋
朱雀桥边野草花	乌衣巷口夕阳斜
乌衣巷口夕阳斜	旧时王谢堂前燕
旧时王谢堂前燕	飞入寻常百姓家
新妆宜面下朱楼	深锁春光一院愁
深锁春光一院愁	行到中庭数花朵
行到中庭数花朵	蜻蜓飞上玉搔头
杨柳青青江水平	闻郎江上唱歌声
闻郎江上唱歌声	东边日出西边雨
东边日出西边雨	道是无晴却有晴
离离原上草	一岁一枯荣
一岁一枯荣	野火烧不尽
野火烧不尽	春风吹又生
春风吹又生	远芳侵古道
远芳侵古道	晴翠接荒城
晴翠接荒城	又送王孙去
又送王孙去	萋萋满别情
时难年荒世业空	弟兄羁旅各西东
弟兄羁旅各西东	田园寥落干戈后
田园寥落干戈后	骨肉流离道路中
骨肉流离道路中	吊影分为千里雁
吊影分为千里雁	辞根散作九秋蓬
辞根散作九秋蓬	共看明月应垂泪
共看明月应垂泪	一夜乡心五处同
绿蚁新醅酒	红泥小火炉
红泥小火炉	晚来天欲雪
晚来天欲雪	能饮一杯无
泪湿罗巾梦不成	夜深前殿按歌声
夜深前殿按歌声	红颜未老恩先断
红颜未老恩先断	斜倚薰笼坐到明
晓日提竹篮	家僮买春蔬
家僮买春蔬	青青芹蕨下
青青芹蕨下	叠卧双白鱼
叠卧双白鱼	无声但呀呀
无声但呀呀	以气相喣濡
以气相喣濡	倾篮写地上
倾篮写地上	拨剌长尺余
拨剌长尺余	岂唯刀机忧
岂唯刀机忧	坐见蝼蚁图
坐见蝼蚁图	脱泉虽已久
脱泉虽已久	得水犹可苏
得水犹可苏	放之小池中
放之小池中	且用救干枯
且用救干枯	水小池窄狭
水小池窄狭	动尾触四隅
动尾触四隅	一时幸苟活
一时幸苟活	久远将何如
久远将何如	怜其不得所
怜其不得所	移放于南湖
移放于南湖	南湖连西江
南湖连西江	好去勿踟蹰
好去勿踟蹰	施恩即望报
施恩即望报	吾非斯人徒
吾非斯人徒	不须泥沙底
不须泥沙底	辛苦觅明珠
锄禾日当午	汗滴禾下土
汗滴禾下土	谁知盘中餐
谁知盘中餐	粒粒皆辛苦
春种一粒粟	秋收万颗子
秋收万颗子	四海无闲田
四海无闲田	农夫犹饿死
汲井漱寒齿	清心拂尘服
清心拂尘服	闲持贝叶书
闲持贝叶书	步出东斋读
步出东斋读	真源了无取
真源了无取	妄迹世所逐
妄迹世所逐	遗言冀可冥
遗言冀可冥	缮性何由熟
缮性何由熟	道人庭宇静
道人庭宇静	苔色连深竹
苔色连深竹	日出雾露余
日出雾露余	青松如膏沐
青松如膏沐	澹然离言说
澹然离言说	悟悦心自足
久为簪组束	幸此南夷谪
幸此南夷谪	闲依农圃邻
闲依农圃邻	偶似山林客
偶似山林客	晓耕翻露草
晓耕翻露草	夜榜响溪石
夜榜响溪石	来往不逢人
来往不逢人	长歌楚天碧
渔翁夜傍西岩宿	晓汲清湘燃楚竹
晓汲清湘燃楚竹	烟销日出不见人
烟销日出不见人	欸乃一声山水绿
欸乃一声山水绿	回看天际下中流
回看天际下中流	岩上无心云相逐
城上高楼接大荒	海天愁思正茫茫
海天愁思正茫茫	惊风乱飐芙蓉水
惊风乱飐芙蓉水	密雨斜侵薜荔墙
密雨斜侵薜荔墙	岭树重遮千里目
岭树重遮千里目	江流曲似九回肠
江流曲似九回肠	共来百越文身地
共来百越文身地	犹自音书滞一乡
千山鸟飞绝	万径人踪灭
万径人踪灭	孤舟蓑笠翁
孤舟蓑笠翁	独钓寒江雪
谢公最小偏怜女	自嫁黔娄百事乖
自嫁黔娄百事乖	顾我无衣搜荩箧
顾我无衣搜荩箧	泥他沽酒拔金钗
泥他沽酒拔金钗	野蔬充膳甘长藿
野蔬充膳甘长藿	落叶添薪仰古槐
落叶添薪仰古槐	今日俸钱过十万
今日俸钱过十万	与君营奠复营斋
与君营奠复营斋	昔日戏言身后事
昔日戏言身后事	今朝都到眼前来
今朝都到眼前来	衣裳已施行看尽
衣裳已施行看尽	针线犹存未忍开
针线犹存未忍开	尚想旧情怜婢仆
尚想旧情怜婢仆	也曾因梦送钱财
也曾因梦送钱财	诚知此恨人人有
诚知此恨人人有	贫贱夫妻百事哀
贫贱夫妻百事哀	闲坐悲君亦自悲
闲坐悲君亦自悲	百年都是几多时
百年都是几多时	邓攸无子寻知命
邓攸无子寻知命	潘岳悼亡犹费辞
潘岳悼亡犹费辞	同穴窅冥何所望
同穴窅冥何所望	他生缘会更难期
他生缘会更难期	惟将终夜长开眼
惟将终夜长开眼	报答平生未展眉
寥落古行宫	宫花寂寞红
宫花寂寞红	白头宫女在
白头宫女在	闲坐说玄宗
松下问童子	言师采药去
言师采药去	只在此山中
只在此山中	云深不知处
十年磨一剑	霜刃未曾试
霜刃未曾试	今日把示君
今日把示君	谁有不平事
破却千家作一池	不栽桃李种蔷薇
不栽桃李种蔷薇	蔷薇花落秋风起
蔷薇花落秋风起	荆棘满亭君自知
旅馆无良伴	凝情自悄然
凝情自悄然	寒灯思旧事
寒灯思旧事	断雁警愁眠
断雁警愁眠	远梦归侵晓
远梦归侵晓	家书到隔年
家书到隔年	沧江好烟月
沧江好烟月	门系钓鱼船
折戟沉沙铁未销	自将磨洗认前朝
自将磨洗认前朝	东风不与周郎便
东风不与周郎便	铜雀春深锁二乔
烟笼寒水月笼沙	夜泊秦淮近酒家
夜泊秦淮近酒家	商女不知亡国恨
商女不知亡国恨	隔江犹唱后庭花
青山隐隐水迢迢	秋尽江南草未凋
秋尽江南草未凋	二十四桥明月夜
二十四桥明月夜	玉人何处教吹箫
落魄江湖载酒行	楚腰纤细掌中轻
楚腰纤细掌中轻	十年一觉扬州梦
十年一觉扬州梦	赢得青楼薄幸名
银烛秋光冷画屏	轻罗小扇扑流萤
轻罗小扇扑流萤	天阶夜色凉如水
天阶夜色凉如水	卧看牵牛织女星
娉娉袅袅十三余	豆蔻梢头二月初
豆蔻梢头二月初	春风十里扬州路
春风十里扬州路	卷上珠帘总不如
繁华事散逐香尘	流水无情草自春
流水无情草自春	日暮东风怨啼鸟
日暮东风怨啼鸟	落花犹似堕楼人
清明时节雨纷纷	路上行人欲断魂
路上行人欲断魂	借问酒家何处有
借问酒家何处有	牧童遥指杏花村
本以高难饱	徒劳恨费声
徒劳恨费声	五更疏欲断
五更疏欲断	一树碧无情
一树碧无情	薄宦梗犹泛
薄宦梗犹泛	故园芜已平
故园芜已平	烦君最相警
烦君最相警	我亦举家清
凄凉宝剑篇	羁泊欲穷年
羁泊欲穷年	黄叶仍风雨
黄叶仍风雨	青楼自管弦
青楼自管弦	新知遭薄俗
新知遭薄俗	旧好隔良缘
旧好隔良缘	心断新丰酒
心断新丰酒	销愁斗几千
高阁客竟去	小园花乱飞
小园花乱飞	参差连曲陌
参差连曲陌	迢递送斜晖
迢递送斜晖	肠断未忍扫
肠断未忍扫	眼穿仍欲归
眼穿仍欲归	芳心向春尽
芳心向春尽	所得是沾衣
客去波平槛	蝉休露满枝
蝉休露满枝	永怀当此节
永怀当此节	倚立自移时
倚立自移时	北斗兼春远
北斗兼春远	南陵寓使迟
南陵寓使迟	天涯占梦数
天涯占梦数	疑误有新知
残阳西入崦	茅屋访孤僧
茅屋访孤僧	落叶人何在
落叶人何在	寒云路几层
寒云路几层	独敲初夜磬
独敲初夜磬	闲倚一枝藤
闲倚一枝藤	世界微尘里
世界微尘里	吾宁爱与憎
锦瑟无端五十弦	一弦一柱思华年
一弦一柱思华年	庄生晓梦迷蝴蝶
庄生晓梦迷蝴蝶	望帝春心托杜鹃
望帝春心托杜鹃	沧海月明珠有泪
沧海月明珠有泪	蓝田日暖玉生烟
蓝田日暖玉生烟	此情可待成追忆
此情可待成追忆	只是当时已惘然
昨夜星辰昨夜风	画楼西畔桂堂东
画楼西畔桂堂东	身无彩凤双飞翼
身无彩凤双飞翼	心有灵犀一点通
心有灵犀一点通	隔座送钩春酒暖
隔座送钩春酒暖	分曹射覆蜡灯红
分曹射覆蜡灯红	嗟余听鼓应官去
嗟余听鼓应官去	走马兰台类转蓬
来是空言去绝踪	月斜楼上五更钟
月斜楼上五更钟	梦为远别啼难唤
梦为远别啼难唤	书被催成墨未浓
书被催成墨未浓	蜡照半笼金翡翠
蜡照半笼金翡翠	麝薰微度绣芙蓉
麝薰微度绣芙蓉	刘郎已恨蓬山远
刘郎已恨蓬山远	更隔蓬山一万重
更隔蓬山一万重	飒飒东风细雨来
飒飒东风细雨来	芙蓉塘外有轻雷
芙蓉塘外有轻雷	金蟾啮锁烧香入
金蟾啮锁烧香入	玉虎牵丝汲井回
玉虎牵丝汲井回	贾氏窥帘韩掾少
贾氏窥帘韩掾少	宓妃留枕魏王才
宓妃留枕魏王才	春心莫共花争发
春心莫共花争发	一寸相思一寸灰
相见时难别亦难	东风无力百花残
东风无力百花残	春蚕到死丝方尽
春蚕到死丝方尽	蜡炬成灰泪始干
蜡炬成灰泪始干	晓镜但愁云鬓改
晓镜但愁云鬓改	夜吟应觉月光寒
夜吟应觉月光寒	蓬山此去无多路
蓬山此去无多路	青鸟殷勤为探看
凤尾香罗薄几重	碧文圆顶夜深缝
